iter	Passed	Remaining
1578	6131	1634
1579	6135	1631
1580	6139	1627
1581	6142	1623
1582	6146	1619
1583	6150	1615
1584	6153	1611
1585	6157	1607
1586	6160	1603
1587	6164	1599
1588	6167	1595
1589	6171	1591
1590	6174	1587
1591	6178	1583
1592	6182	1579
1593	6185	1575
1594	6189	1571
1595	6193	1567
1596	6197	1563
1597	6200	1559
1598	6204	1555
1599	6207	1551
1600	6211	1548
1601	6215	1544
1602	6218	1540
1603	6222	1536
1604	6225	1532
1605	6229	1528
1606	6233	1524
1607	6236	1520
1608	6239	1516
1609	6243	1512
1610	6246	1508
1611	6250	1504
1612	6253	1500
1613	6257	1496
1614	6261	1492
1615	6264	1488
1616	6268	1484
1617	6271	1480
1618	6275	1476
1619	6279	1472
1620	6282	1468
1621	6285	1464
1622	6289	1460
1623	6293	1457
1624	6296	1453
1625	6300	1449
1626	6304	1445
1627	6308	1441
1628	6312	1437
1629	6316	1433
1630	6319	1429
1631	6323	1425
1632	6327	1421
1633	6330	1418
1634	6335	1414
1635	6339	1410
1636	6342	1406
1637	6346	1402
1638	6350	1398
1639	6353	1394
1640	6356	1390
1641	6360	1386
1642	6364	1382
1643	6368	1378
1644	6371	1375
1645	6375	1371
1646	6378	1367
1647	6382	1363
1648	6385	1359
1649	6389	1355
1650	6392	1351
1651	6396	1347
1652	6399	1343
1653	6403	1339
1654	6407	1335
1655	6410	1331
1656	6414	1327
1657	6417	1323
1658	6421	1319
1659	6424	1315
1660	6428	1311
1661	6431	1308
1662	6435	1304
1663	6439	1300
1664	6442	1296
1665	6446	1292
1666	6450	1288
1667	6453	1284
1668	6457	1280
1669	6461	1276
1670	6464	1272
1671	6468	1268
1672	6471	1264
1673	6475	1260
1674	6478	1257
1675	6482	1253
1676	6486	1249
1677	6490	1245
1678	6493	1241
1679	6497	1237
1680	6501	1233
1681	6505	1229
1682	6508	1225
1683	6513	1222
1684	6517	1218
1685	6521	1214
